Listado de software de el equipo    09/06/2020 20:46 
Microsoft .NET Framework 4.5.2 Multi-Targeting Pack                                           4.5.51651         
vs_clickoncesigntoolmsi                                                                       16.0.28329        
Bifrost Extension 2.0.3.0 for Maya 2020                                                       2.0.3.0           
Microsoft ASP.NET Web Tools Packages 16.0 - ENU                                               1.0.20305.0       
MySQL Workbench 8.0 CE                                                                        8.0.20            
VS Immersive Activate Helper                                                                  16.0.95.0         
Intel(R) Management Engine Driver                                                             1.0.0.0           
Windows SDK Desktop Tools x64                                                                 10.1.17763.132    
ClickOnce Bootstrapper Package for Microsoft .NET Framework                                   4.7.03083         
Microsoft .NET Framework 4.6.1 Targeting Pack                                                 4.6.01055         
WinRT Intellisense Desktop - en-us                                                            10.1.17763.132    
Google Update Helper                                                                          1.3.35.451        
Paquete de compatibilidad de Microsoft .NET Framework 4.7.2 (español)                         4.7.03062         
Windows SDK Modern Versioned Developer Tools                                                  10.1.17763.132    
Windows SDK Desktop Headers x86                                                               10.1.17763.132    
Windows SDK Desktop Headers x64                                                               10.1.17763.132    
Spark AR Studio                                                                               73.0.10           
Microsoft Visual Studio Setup Configuration                                                   2.1.1046.44959    
Windows SDK for Windows Store Apps Headers                                                    10.1.17763.132    
Microsoft ASP.NET Diagnostic Pack for Visual Studio                                           16.1.429.50124    
Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030                                 11.0.61030        
Epic Games Launcher                                                                           1.1.257.0         
Quick Access Service                                                                          3.00.3009         
Windows App Certification Kit x64                                                             10.1.17763.132    
Windows SDK for Windows Store Apps Tools                                                      10.1.17763.132    
Microsoft .NET Native SDK                                                                     15.0.24211.06     
Spark AR Studio                                                                               74.1.15           
Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030                                    11.0.61030        
Intel® Optane™ Pinning Explorer Extensions                                                   17.8.0.1065       
WinRT Intellisense Desktop - Other Languages                                                  10.1.17763.132    
vs_SQLClickOnceBootstrappermsi                                                                16.0.28329        
Intel(R) C++ Redistributables on Intel(R) 64                                                  16.0.246          
DiagnosticsHub_CollectionService                                                              16.1.28901        
Microsoft ODBC Driver 17 for SQL Server                                                       17.2.0.1          
Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40660                                    12.0.40660        
Application Verifier x64 External Package                                                     10.1.17763.132    
HP DeskJet 4720 series Ayuda                                                                  36.0.0            
HP DeskJet 4720 series Software básico del dispositivo                                        40.11.1124.17107  
Intel Driver && Support Assistant                                                             20.2.9.6          
Visual C++ Library CRT Desktop Appx Package                                                   14.21.27702       
Windows SDK Redistributables                                                                  10.1.17763.132    
TypeScript SDK                                                                                3.4.4.0           
Universal General MIDI DLS Extension SDK                                                      10.1.17763.132    
Windows SDK                                                                                   10.1.17763.132    
Microsoft .NET Framework 4.7.2 Targeting Pack                                                 4.7.03062         
Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030                                    11.0.61030        
vs_filehandler_x86                                                                            16.1.28811        
Update for Windows 10 for x64-based Systems (KB4480730)                                       2.51.0.0          
Intel(R) Management Engine Components                                                         1.0.0.0           
Dolby Audio X2 Windows APP                                                                    0.8.6.75          
Visual C++ Library CRT Desktop Appx Package                                                   14.21.27702       
Update for Windows 10 for x64-based Systems (KB4023057)                                       2.63.0.0          
HP Dropbox Plugin                                                                             36.0.41.58587     
windows_toolscorepkg                                                                          16.0.28707        
IIS 10.0 Express                                                                              10.0.03017        
Windows Simulator                                                                             16.0.28522        
vs_filehandler_amd64                                                                          16.1.28811        
Kits Configuration Installer                                                                  10.1.17763.132    
Universal CRT Tools x64                                                                       10.1.17763.132    
Windows SDK for Windows Store Apps Metadata                                                   10.1.17763.132    
Python Launcher                                                                               3.8.7072.0        
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.17                                  9.0.30729         
Intel(R) Optane Memory                                                                        17.8.0.1065       
Windows SDK Desktop Libs x64                                                                  10.1.17763.132    
Microsoft Visual C++ 2019 X86 Minimum Runtime - 14.24.28127                                   14.24.28127       
Spark AR Studio                                                                               75.0.22           
Java Auto Updater                                                                             2.8.231.11        
Windows SDK Signing Tools                                                                     10.1.17763.132    
Microsoft SQL Server 2016 LocalDB                                                             13.1.4001.0       
Epic Games Launcher Prerequisites (x64)                                                       1.0.0.0           
Microsoft .NET Core SDK 2.1.700 (x64)                                                         8.191.9667        
Microsoft System CLR Types para SQL Server 2019 CTP2.2                                        15.0.1200.24      
Microsoft .NET Core Host FX Resolver - 2.1.11 (x64)                                           16.108.27618      
Universal CRT Tools x86                                                                       10.1.17763.132    
WinRT Intellisense PPI - Other Languages                                                      10.1.17763.132    
vs_communitymsires                                                                            16.0.28329        
Windows Mobile Extension SDK                                                                  10.1.17763.132    



 ___________________
Firma del encargado
